Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eft	466	3.6203803722207886e-241	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eft_1	467	2.1903765132620817e-226	1	460	3	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	efu	466	3.6203803722207886e-241	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	egv	468	2.679927043055219e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	elac	467	2.158490535230311e-226	1	460	3	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	emm	474	1.3598944374689816e-225	1	460	3	464	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	ems	466	1.394124617948074e-234	2	461	4	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	ems_1	468	2.679927043055219e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	emu	466	8.899879646214972e-242	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	enem	477	2.9555350652756722e-210	2	458	6	467	0.9913232104121475	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	enq	468	1.5674250972424275e-246	2	460	5	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eraf	467	2.7900019661006653e-230	1	460	3	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	eraf_1	466	5.553732776213266e-238	1	460	3	462	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	erm	470	3.9190950253892484e-237	1	461	2	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	esg	469	1.6940365752676484e-235	2	460	7	465	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	fit	467	3.1579425553763436e-235	2	461	3	464	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	fro	466	6.180347964179647e-239	1	461	3	463	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	hov	467	9.176110428694775e-237	1	460	3	463	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	laca	472	1.0856145655472889e-236	2	460	10	470	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	laca_1	469	2.0697693562907e-224	1	459	2	464	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lach	474	1.1605502342133318e-237	1	460	9	470	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lah	292	9.605647512611137e-116	207	460	38	289	0.5509761388286334	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lala	467	5.984748215346112e-246	1	461	4	465	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lalw	476	2.092673533562884e-233	1	460	10	474	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lalw_1	474	1.399449393161859e-227	2	460	5	469	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lani	476	2.3351347370593647e-215	2	460	8	469	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lba	467	1.649256014251895e-247	1	461	4	465	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lca	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lcb	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lce	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lce_1	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lchi	474	4.2661063925461427e-231	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lcl	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lcs	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lct	482	6.80435257860791e-237	2	460	10	473	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lct_1	469	2.10601131066996e-223	8	460	1	460	0.982646420824295	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lct_2	476	1.0173203995307878e-232	1	460	10	474	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lcw	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lde	481	2.1470753712654065e-223	1	460	5	467	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	leq	467	3.101846599231448e-247	1	461	3	464	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lfm	476	5.532374592053655e-235	1	460	10	474	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lfm_1	475	2.861011062407899e-237	2	460	10	473	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lfm_2	473	6.401090706914113e-228	1	460	3	468	0.9978308026030368	dbCAN-sub
